"MORPHID","LEMMA","POS","MORPH"
726,"clammy","a","clammiest"
725,"clammy","a","clammier"
729,"clap","v","clapping"
728,"clap","v","clapped"
730,"clarify","v","clarified"
731,"claro","n","claroes"
734,"classify","v","classified"
733,"classy","a","classiest"
732,"classy","a","classier"
736,"cleanly","a","cleanliest"
735,"cleanly","a","cleanlier"
798,"comatula","n","comatulae"
800,"combat","v","combatting"
799,"combat","v","combatted"
547,"come","v","came"
801,"comedo","n","comedones"
803,"comely","a","comeliest"
802,"comely","a","comelier"
805,"comfy","a","comfiest"
804,"comfy","a","comfier"
806,"comic","n","comics"
806,"comic strip","n","comics"
807,"commando","n","commandoes"
809,"commit","v","committing"
808,"commit","v","committed"
829,"con","v","conning"
828,"con","v","conned"
815,"concerto","n","concerti"
816,"concerto grosso","n","concerti grossi"
817,"concha","n","conchae"
819,"concur","v","concurring"
818,"concur","v","concurred"
821,"confab","v","confabbing"
820,"confab","v","confabbed"
823,"confer","v","conferring"
822,"confer","v","conferred"
824,"conferva","n","confervae"
825,"congius","n","congii"
826,"conidium","n","conidia"
827,"conjunctiva","n","conjunctivae"
811,"compel","v","compelling"
810,"compel","v","compelled"
814,"complot","v","complotting"
813,"complot","v","complotted"
812,"comply","v","complied"
768,"co-star","v","co-starring"
767,"co-star","v","co-starred"
769,"coagulum","n","coagula"
770,"coccus","n","cocci"
771,"coccyx","n","coccyges"
772,"cochlea","n","cochleae"
774,"cocky","a","cockiest"
773,"cocky","a","cockier"
776,"cod","v","codding"
775,"cod","v","codded"
777,"coder","a","coder"
779,"codex","n","codices"
778,"codfish","n","codfishes"
780,"codify","v","codified"
781,"coelenteron","n","coelentera"
783,"cog","v","cogging"
782,"cog","v","cogged"
784,"cognomen","n","cognomina"
786,"coif","v","coiffing"
785,"coif","v","coiffed"
791,"colloquium","n","colloquia"
790,"colly","a","colliest"
789,"colly","a","collier"
788,"colly","v","collied"
792,"collyrium","n","collyria"
793,"colon","n","colones"
787,"colon","n","cola"
794,"colossus","n","colossi"
795,"columbarium","n","columbaria"
796,"columella","n","columellae"
797,"coma","n","comae"
864,"counsel","v","counselling"
863,"counsel","v","counselled"
865,"counterfeiter","a","counterfeiter"
867,"counterplot","v","counterplotting"
